Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Injuries
Accident,SEA87LA080,1948-10-24,"MOOSE CREEK, ID",United States,Fatal(2),Destroyed,unknown,stinson,108-3,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Cruise,2.0
Accident,LAX94LA336,1962-07-19,"BRIDGEPORT, CA",United States,Fatal(4),Destroyed,unknown,piper,PA24-180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,UNK,Unknown,4.0
Accident,NYC07LA005,1974-08-30,"Saltville, VA",United States,Fatal(3),Destroyed,unknown,cessna,172M,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,3.0
Accident,LAX96LA321,1977-06-19,"EUREKA, CA",United States,Fatal(2),Destroyed,unknown,rockwell,112,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,2.0
Accident,CHI79FA064,1979-08-02,"Canton, OH",United States,Fatal(1),Destroyed,unknown,cessna,501,No,0.0,unknown,Personal,1.0,2.0,0.0,0.0,VMC,Approach,3.0
Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,Airplane,mcdonnell douglas,DC9,No,2.0,Turbo Fan,unknown,0.0,0.0,1.0,44.0,VMC,Climb,1.0
Accident,CHI81LA106,1981-08-01,"COTTON, MN",United States,Fatal(4),Destroyed,unknown,cessna,180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Unknown,4.0
Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,cessna,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Airplane,cessna,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,0.0
Accident,MIA82DA029,1982-01-01,"JACKSONVILLE, FL",United States,Non-Fatal,Substantial,unknown,north american,NAVION L-17B,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,IMC,Cruise,3.0
Accident,FTW82DA034,1982-01-01,"HOBBS, NM",United States,Non-Fatal,Substantial,unknown,piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,ATL82DKJ10,1982-01-01,"TUSKEGEE, AL",United States,Non-Fatal,Substantial,unknown,beech,V35B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Destroyed,Airplane,bellanca,17-30A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,1.0
Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Fatal(1),Destroyed,Airplane,cessna,R172K,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1.0
Accident,FTW82FPJ10,1982-01-02,"CHICKASHA, OK",United States,Fatal(1),Destroyed,Airplane,navion,A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Fatal(2),Destroyed,Airplane,beech,19,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,2.0
Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Fatal(3),Destroyed,Airplane,cessna,180,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,3.0
Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,0.0
Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Substantial,Airplane,cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Incident,Minor,Airplane,piper,PA-24-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal(2),Destroyed,Airplane,grumman,AA-5B,No,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,Descent,3.0
Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,Airplane,cessna,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,8.0
Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Fatal(1),Destroyed,Airplane,beechcraft,BE-58,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,1.0
Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Non-Fatal,Substantial,Airplane,maule,M-5-235C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,Non-Fatal,Substantial,Airplane,cessna,210L,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Descent,1.0
Accident,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,Non-Fatal,Substantial,Airplane,bellanca,7GCBC,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,2.0
Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,Non-Fatal,Substantial,Airplane,cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,2.0
Accident,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,Non-Fatal,Substantial,Airplane,air tractor,AT-301,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,Fatal(4),Destroyed,Airplane,piper,PA-28-161,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Cruise,4.0
Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Fatal(2),Destroyed,Airplane,piper,PA-34-200T,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,2.0
Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal(2),Destroyed,Airplane,cessna,T337G,No,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC,Cruise,4.0
Accident,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,Non-Fatal,Substantial,Airplane,piper,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,2.0
Accident,LAX82FUM06,1982-01-05,"RAMONA, CA",United States,Fatal(3),Destroyed,Airplane,navion,A,No,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,Cruise,3.0
Accident,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,Fatal(1),Destroyed,Airplane,piper,PA-22,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Fatal(2),Destroyed,Airplane,piper,PA-31,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,2.0
Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,Incident,Minor,Airplane,rockwell,114,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,FTW82DA037,1982-01-05,"LONOKE, AR",United States,Non-Fatal,Substantial,Airplane,piper,PA-24-250,No,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,1.0
Accident,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,Non-Fatal,Substantial,Airplane,piper,PA-28R-200,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,Non-Fatal,Substantial,Airplane,cessna,TR182,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,0.0
Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,Non-Fatal,Substantial,Airplane,cessna,A185F,No,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,2.0
Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,Non-Fatal,Substantial,Airplane,cessna,340,Yes,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,0.0
Accident,DEN82DA015,1982-01-06,"JACKSON, WY",United States,Non-Fatal,Substantial,Airplane,beech,35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,0.0
Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,Non-Fatal,Substantial,Airplane,mooney,M-20J,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,Non-Fatal,Substantial,Airplane,boeing,A75,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,1.0,IMC,Cruise,1.0
Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,Fatal(2),Destroyed,Airplane,cessna,210,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,2.0
Accident,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,Non-Fatal,Substantial,Airplane,beech,V35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,Non-Fatal,Substantial,Airplane,curtis,C46,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Standing,0.0
Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,Fatal(1),Destroyed,Airplane,cessna,172M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,1.0
Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,Fatal(1),Destroyed,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,2.0
Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,cessna,TU206G,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,Non-Fatal,Substantial,Airplane,piper,PA-24-250,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,Non-Fatal,Substantial,Airplane,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,LAX82DVG12,1982-01-09,"NAPA, CA",United States,Non-Fatal,Substantial,Airplane,cessna,P210N,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Landing,1.0
Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Non-Fatal,Substantial,Airplane,piper,PA-34,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,0.0
Accident,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,Non-Fatal,Substantial,Airplane,cessna,305 (L-19),No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,Non-Fatal,Substantial,Airplane,cessna,182A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Non-Fatal,Destroyed,Airplane,piper,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,2.0
Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,Non-Fatal,Destroyed,Airplane,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,0.0
Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Non-Fatal,Destroyed,Airplane,piper,23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Takeoff,0.0
Accident,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,Fatal(1),Destroyed,Airplane,mooney,M20G,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Cruise,2.0
Accident,LAX82FUQ07,1982-01-10,"MOJAVE, CA",United States,Non-Fatal,Substantial,Airplane,cessna,TU206F,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Landing,4.0
Accident,LAX82FUG05,1982-01-10,"UPLAND, CA",United States,Non-Fatal,Substantial,Airplane,quickie,1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,Non-Fatal,Substantial,Airplane,cessna,U206,No,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC,Cruise,3.0
Accident,DEN82FTI10,1982-01-11,"NEAR BOZEMAN, MT",United States,Non-Fatal,Destroyed,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Cruise,2.0
Accident,DEN82FA017,1982-01-11,"RIVERTON, WY",United States,Fatal(4),Destroyed,Airplane,cessna,210N,No,1.0,Reciprocating,Personal,4.0,1.0,1.0,0.0,IMC,Takeoff,6.0
Accident,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,Non-Fatal,Substantial,Airplane,cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,Non-Fatal,Substantial,Airplane,cessna,310L,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Incident,Minor,Airplane,embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Taxi,0.0
Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,Non-Fatal,Destroyed,Airplane,cessna,414,No,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,UNK,Descent,3.0
Accident,FTW82FPA10,1982-01-12,"ADDISON, TX",United States,Non-Fatal,Substantial,Airplane,beech,P35,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,IMC,Descent,1.0
Accident,MIA82DA033,1982-01-13,"MONTICELLO, FL",United States,Non-Fatal,Destroyed,Airplane,grumman,AA5B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Descent,0.0
Accident,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,Fatal(78),Destroyed,unknown,boeing,737-222,No,2.0,Turbo Fan,Unknown,78.0,6.0,3.0,0.0,IMC,Takeoff,87.0
Accident,FTW82FPJ11,1982-01-13,"WATONGA, OK",United States,Non-Fatal,Substantial,Airplane,piper,PA-28R-201T,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,0.0
Accident,FTW82DA040,1982-01-13,"HOBBS, NM",United States,Non-Fatal,Substantial,Airplane,beech,A23-24,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,0.0
Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Approach,0.0
Accident,DEN82FA018,1982-01-15,"28 MI ENE OGDEN, UT",United States,Fatal(3),Destroyed,Airplane,cessna,T210N,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Climb,3.0
Accident,NYC82DA022,1982-01-15,"BUTLER, PA",United States,Non-Fatal,Substantial,unknown,cessna,310,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,MIA82DKJ03,1982-01-15,"MALONE, FL",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,SEA82DA018,1982-01-15,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,cessna,140,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,Non-Fatal,Substantial,Airplane,swearingen,SA 226-TC,No,2.0,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,VMC,Takeoff,3.0
Accident,CHI82DA027,1982-01-15,"ANOKA, MN",United States,Non-Fatal,Substantial,Airplane,beech,C-45H,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,ANC82DA015,1982-01-15,"NEAR NUIQSUT, AK",United States,Non-Fatal,Substantial,Airplane,de havilland,DHC-2-MK3,No,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,VMC,Landing,0.0
Accident,NYC82DA023,1982-01-16,"SWANTON, VT",United States,Non-Fatal,Substantial,Airplane,cessna,150M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,0.0
Accident,LAX82FVG14,1982-01-17,"DAVIS, CA",United States,Fatal(1),Destroyed,Airplane,cessna,150M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1.0
Accident,LAX82FUQ08,1982-01-17,"MOJAVE, CA",United States,Fatal(1),Destroyed,Airplane,bede aircraft,BD-5B,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,1.0
Accident,LAX82FUJ24,1982-01-17,"SUNFLOWER, AZ",United States,Non-Fatal,Destroyed,Airplane,cessna,182P,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Other,1.0
Accident,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,Non-Fatal,Destroyed,Airplane,convair,440,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC,Takeoff,2.0
Accident,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,Fatal(1),Destroyed,Airplane,piper,PA-31,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Approach,1.0
Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,Non-Fatal,Destroyed,Airplane,piper,PA-31T,No,2.0,Turbo Prop,Personal,0.0,0.0,3.0,0.0,VMC,Maneuvering,3.0
Accident,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,Fatal(2),Destroyed,Airplane,beech,F50,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Takeoff,2.0
Accident,ANC82DA014,1982-01-17,"ANCHORAGE, AK",United States,Non-Fatal,Destroyed,Airplane,cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,1.0
Accident,DEN82DA019,1982-01-17,"CEDAR CITY, UT",United States,Non-Fatal,Substantial,Airplane,cessna,180E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,0.0
Accident,ANC82DAG15,1982-01-17,"TULUKSAK, AK",United States,Non-Fatal,Substantial,Airplane,cessna,170B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,SEA82FYM08,1982-01-18,"ORCHARDS, WA",United States,Non-Fatal,Destroyed,Airplane,beech,C23,No,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,Descent,4.0
Accident,LAX82FA047,1982-01-18,"DOWNIEVILLE, CA",United States,Fatal(1),Destroyed,Airplane,cessna,172M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,ATL82FA039,1982-01-18,"BLAIRSVILLE, GA",United States,Fatal(3),Destroyed,Airplane,piper,PA-28-180,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,3.0
Accident,FTW82DA045,1982-01-18,"S.E. OF HOUMA, LA",United States,Non-Fatal,Substantial,Airplane,cessna,180K,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,ATL82FA037,1982-01-18,"MADISON COUNTY, AL",United States,Fatal(4),Substantial,Airplane,cessna,210L,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Approach,4.0
Accident,MKC82FCQ08,1982-01-19,"CEDAR VALE, KS",United States,Fatal(1),Destroyed,Airplane,mooney,M20F,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,1.0
Accident,FTW82FPJ12,1982-01-19,"STILLWATER, OK",United States,Fatal(2),Destroyed,Airplane,beech,G35,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,2.0
Accident,DEN82FTA09,1982-01-19,"WOLF PT., MT",United States,Fatal(1),Destroyed,Airplane,cessna,177B,No,1.0,Reciprocating,Business,1.0,2.0,0.0,0.0,UNK,Cruise,3.0
Accident,DCA82AA012B,1982-01-19,"ROCKPORT, TX",United States,Fatal(3),Destroyed,Airplane,grumman,AA5A,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Approach,3.0
Accident,DCA82AA012A,1982-01-19,"ROCKPORT, TX",United States,Fatal(3),Destroyed,Airplane,swearingen,SA226-T(B),No,2.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Approach,3.0
Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,Incident,Minor,Airplane,de havilland,DHC-6-300,No,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,1.0,IMC,Descent,0.0
Accident,NYC82DA026,1982-01-19,"SOMERSET, PA",United States,Non-Fatal,Substantial,Airplane,piper,AEROSTAR 601P,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,NYC82DA024,1982-01-19,"ENFIELD, NH",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,MKC82DA018,1982-01-19,"TOPEKA, KS",United States,Non-Fatal,Substantial,Airplane,cessna,182P,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,1.0,1.0,VMC,Cruise,1.0
Accident,MKC82DA017,1982-01-19,"URBANDALE, IA",United States,Non-Fatal,Substantial,Airplane,cessna,177RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Climb,0.0
Accident,LAX82FUJ26,1982-01-19,"KINGMAN, AZ",United States,Non-Fatal,Substantial,Airplane,beachner,QUICK SILVER,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,1.0
Accident,LAX82DA043,1982-01-19,"SANTA MONICA, CA",United States,Non-Fatal,Substantial,Airplane,cessna,182E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,FTW82DA042,1982-01-19,"SHREVEPORT, LA",United States,Non-Fatal,Substantial,Airplane,cessna,150H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,CHI82DA056,1982-01-19,"NEAR LANSING, MI",United States,Non-Fatal,Substantial,Airplane,cessna,340A,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,Cruise,0.0
Accident,CHI82DA028,1982-01-19,"GRAND RAPIDS, MI",United States,Non-Fatal,Substantial,Airplane,piper,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,canadair,CL-44D4,No,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,VMC,Landing,0.0
Accident,ANC82DA019,1982-01-19,"TUNTUTULIAK, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA-32,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Incident,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,Incident,Minor,Airplane,piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,LAX82FA048,1982-01-20,"CHERRY VALLEY, CA",United States,Fatal(2),Destroyed,Airplane,beech,58,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,2.0
Accident,LAX82FA045,1982-01-20,"ESCONDIDO, CA",United States,Fatal(3),Destroyed,Airplane,cessna,182N,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Descent,3.0
Accident,ATL82FKQ10,1982-01-20,"MCCOMB, MS",United States,Fatal(1),Destroyed,Airplane,piper,PA-23-250,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Approach,1.0
Accident,MIA82FA035,1982-01-20,"ORLANDO, FL",United States,Fatal(1),Substantial,Airplane,cessna,210,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Approach,1.0
Accident,FTW82DA044,1982-01-20,"MIDLAND, TX",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,SEA82FA032,1982-01-21,"BOISE, ID",United States,Fatal(4),Destroyed,Airplane,cessna,P210N,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Cruise,4.0
Accident,MKC82FA019,1982-01-21,"NORTH KANSAS CI, MO",United States,Fatal(1),Destroyed,Airplane,cessna,402A,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,1.0
