Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Injuries
Accident,CHI97LA090,1997-03-25,"GRAND FORKS, ND",United States,Non-Fatal,Substantial,unknown,curtiss-wright,P-40E,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,SEA97FA076,1997-03-26,"BURLINGTON, WY",United States,Fatal(1),Destroyed,unknown,cessna,172P,No,1.0,Reciprocating,Aerial Observation,1.0,0.0,0.0,0.0,VMC,Cruise,1.0
Accident,FTW97RA151,1997-03-26,"MARIQUITA, Colombia",Colombia,Fatal(2),Destroyed,unknown,bell,UH-1H,No,0.0,Unknown,Instructional,2.0,0.0,0.0,0.0,VMC,unknown,2.0
Accident,SEA97LA077,1997-03-26,"WENATCHEE, WA",United States,Non-Fatal,Substantial,unknown,de havilland,DHC-8,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,12.0,VMC,Taxi,0.0
Accident,FTW97LA141,1997-03-26,"N LITTLE ROCK, AR",United States,Non-Fatal,Substantial,unknown,piper,PA-17,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,CHI97LA128,1997-03-26,"HAYS, KS",United States,Non-Fatal,Substantial,unknown,rochette,RANS S-12 XL,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,CHI97LA092,1997-03-26,"SOUTH ST. PAUL, MN",United States,Non-Fatal,Substantial,unknown,champion,7ECA,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,CHI97LA091,1997-03-26,"FT. LEAVENWORTH, KS",United States,Non-Fatal,Substantial,unknown,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,ANC97LA038,1997-03-26,"KAKE, AK",United States,Non-Fatal,Substantial,unknown,luscombe,8A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Maneuvering,1.0
Incident,FTW97IA144,1997-03-27,"DFW AIRPORT, TX",United States,Incident,Minor,unknown,boeing,767-232,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,198.0,VMC,Approach,0.0
Accident,CHI97FA093,1997-03-27,"GREENFIELD, IN",United States,Fatal(1),Destroyed,unknown,stinson,108,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,1.0
Accident,ANC97LA042,1997-03-27,"GRAYLING, AK",United States,Non-Fatal,Substantial,unknown,cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,2.0,VMC,Takeoff,1.0
Accident,MIA97LA108,1997-03-27,"POMPANO BEACH, FL",United States,Non-Fatal,Substantial,unknown,cessna,172M,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,MIA97LA102,1997-03-27,"BESSEMER, AL",United States,Non-Fatal,Substantial,unknown,beech,A23-19,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,LAX97LA134,1997-03-27,"OROVILLE, CA",United States,Non-Fatal,Substantial,unknown,bellanca,14-13,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,LAX97LA133,1997-03-27,"SACATON, AZ",United States,Non-Fatal,Substantial,unknown,enstrom,F-28C,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,LAX97LA132,1997-03-27,"SAN CARLOS, CA",United States,Non-Fatal,Substantial,unknown,beech,100,No,2.0,Turbo Prop,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
